"Region","Location","Rep","Block","Hybrid","GY"
"TA","E7",1,1,"G21",13.14
"TA","E7",1,4,"G35",12.44
"TA","E7",1,2,"G7",12.48
"TA","E7",1,1,"G8",13.06
"TA","E7",1,1,"G22",12.53
"TA","E7",1,6,"G33",10.9
"TA","E7",1,6,"G32",11.78
"TA","E7",1,3,"G10",12.61
"TA","E7",1,1,"G36",12.16
"TA","E7",1,2,"G14",12.6
"TA","E7",1,2,"G1",10.84
"TA","E7",1,3,"G2",13.65
"TA","E7",1,4,"G4",11.37
"TA","E7",1,6,"G3",11.7
"TA","E7",2,9,"G9",13.65
"TA","E7",2,11,"G20",10.6
"TA","E7",2,8,"G34",13.65
"TA","E7",2,10,"G18",12.04
"TA","E7",2,9,"G30",14.19
"TA","E7",2,11,"G27",13.14
"TA","E7",2,7,"G29",13.02
"TA","E7",2,11,"G26",13.04
"TA","E7",2,8,"G15",14.19
"TA","E7",2,11,"G19",11.04
"TA","E7",2,12,"G5",12.62
"TA","E7",2,7,"G16",11.66
"TA","E7",2,9,"G6",13.19
"TA","E7",2,11,"G17",11.9
"TA","E7",2,7,"G23",13.86
"TA","E7",2,7,"G31",11.44
"TA","E7",2,10,"G12",13.27
"TA","E7",2,12,"G28",11.73
"TA","E7",2,12,"G13",12.71
"TA","E7",2,9,"G24",12.8
"TA","E7",2,10,"G25",13.5
"TA","E7",2,8,"G11",12.52
"TA","E7",2,8,"G21",14.15
"TA","E7",2,12,"G35",13.09
"TA","E7",2,8,"G7",13.85
"TA","E7",2,10,"G8",14.57
"TA","E7",2,11,"G22",11.71
"TA","E7",2,12,"G33",11.49
"TA","E7",2,8,"G32",14.33
"TA","E7",2,7,"G10",10.46
"TA","E7",2,7,"G36",11.57
"TA","E7",2,9,"G14",11.73
"TA","E7",2,9,"G4",11
"TA","E7",2,10,"G1",10.54
"TA","E7",2,10,"G3",11.83
"TA","E7",2,12,"G2",12.28
"TA","E8",1,3,"G9",15.5
"TA","E8",1,6,"G20",12.02
"TA","E8",1,5,"G34",13.65
"TA","E8",1,4,"G18",12.04
"TA","E8",1,6,"G30",14.59
"TA","E8",1,5,"G27",13.92
"TA","E8",1,5,"G29",13.84
"TA","E8",1,4,"G26",14.03
